map25  	  map3  	  59  	  82  	  71.6666666666667      	  46.09375         	  63.28125         	  55.7291666666667    
map25  	  map4  	  0  	  1  	  0.333333333333333     	  0.0              	  0.78125          	  0.260416666666667   
map25  	  map5  	  136  	  141  	  139.333333333333      	  98.4375          	  100.0            	  99.4791666666667    
map25  	  map7  	  101  	  119  	  108.666666666667      	  78.125           	  91.40625         	  83.3333333333333    
map25  	  map12  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map25  	  map13  	  128  	  129  	  128.333333333333      	  100.0            	  100.0            	  100.0               
map25  	  map14  	  133  	  136  	  134.666666666667      	  99.21875         	  100.0            	  99.7395833333333    
map25  	  map15  	  31  	  58  	  42.0                  	  24.21875         	  45.3125          	  32.8125             
map25  	  map16  	  129  	  131  	  130.0                 	  100.0            	  100.0            	  100.0               
map25  	  map18  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map25  	  map19  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map25  	  map22  	  130  	  132  	  131.0                 	  99.21875         	  100.0            	  99.4791666666667    
map25  	  map27  	  27  	  50  	  39.6666666666667      	  21.09375         	  39.0625          	  30.9895833333333    
map25  	  map28  	  27  	  58  	  40.3333333333333      	  21.09375         	  45.3125          	  31.5104166666667    
map25  	  map29  	  130  	  134  	  132.333333333333      	  100.0            	  100.0            	  100.0               
map25  	  map30  	  129  	  133  	  131.333333333333      	  100.0            	  100.0            	  100.0               
map25  	  map31  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map25  	  map34  	  134  	  138  	  135.666666666667      	  100.0            	  100.0            	  100.0               
map25  	  map37  	  107  	  113  	  109.666666666667      	  83.59375         	  88.28125         	  85.6770833333333    
map25  	  map38  	  33  	  50  	  41.0                  	  25.78125         	  39.0625          	  32.03125            
map27  	  map1  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map27  	  map2  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map27  	  map3  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map27  	  map4  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map27  	  map5  	  96  	  108  	  100.666666666667      	  75.0             	  84.375           	  78.6458333333333    
map27  	  map7  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map27  	  map12  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map27  	  map13  	  4  	  15  	  7.66666666666667      	  3.125            	  11.71875         	  5.98958333333333    
map27  	  map14  	  125  	  128  	  126.666666666667      	  97.65625         	  100.0            	  98.9583333333333    
